Student Name,Index Number,Email,Date of Birth
Akosua Mensah,UPSA/1000010,akosua.mensah@students.upsa.edu.gh,2003-04-12
Kwabena Owusu,UPSA/1000011,kwabena.owusu@students.upsa.edu.gh,2002-11-30
Efua Asante,UPSA/1000012,efua.asante@students.upsa.edu.gh,2003-01-08
Yaw Darko,UPSA/1000013,yaw.darko@students.upsa.edu.gh,2001-09-25
Abena Nyarko,UPSA/1000014,abena.nyarko@students.upsa.edu.gh,2003-07-20
Kojo Appiah,UPSA/1000015,kojo.appiah@students.upsa.edu.gh,2002-02-14
Adwoa Frimpong,UPSA/1000016,adwoa.frimpong@students.upsa.edu.gh,2003-06-03
Kwesi Baidoo,UPSA/1000017,kwesi.baidoo@students.upsa.edu.gh,2002-08-17
Akua Tetteh,UPSA/1000018,akua.tetteh@students.upsa.edu.gh,2001-12-05
Kofi Agyeman,UPSA/1000019,kofi.agyeman@students.upsa.edu.gh,2003-03-28
